Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag;
1894489;3;22/11/2011 21:30;Strada Urbana;VIA SALARIA;in corrispondenza;;del civico n. ;464;;Veicolo in marcia contro veicolo in sosta;Rettilineo;Una carreggiata a doppio senso;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Sufficiente;2;0;0;1;;;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Rimandato;0;NON DECEDUTO;Utilizzato;Esploso;
1894489;3;22/11/2011 21:30;Strada Urbana;VIA SALARIA;in corrispondenza;;del civico n. ;464;;Veicolo in marcia contro veicolo in sosta;Rettilineo;Una carreggiata a doppio senso;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Sufficiente;2;0;0;1;;;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Rimandato;0;NON DECEDUTO;Utilizzato;Inesistente;
1894490;2;23/11/2011 10:40;Strada Urbana;VIA GIOVANNI ANTONELLI;in prossimità;;del civico n. ;46;;Scontro laterale fra veicoli in marcia;Pendenza;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;1;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente;
1894490;2;23/11/2011 10:40;Strada Urbana;VIA GIOVANNI ANTONELLI;in prossimità;;del civico n. ;46;;Scontro laterale fra veicoli in marcia;Pendenza;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;1;;;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;Inesistente;
1894491;6;22/11/2011 08:30;Provinciale entro l'abitato;VIA PRENESTINA;all'intersezione semaforizzata con;VIA ERASMO GATTAMELATA;VIA ERASMO GATTAMELATA;;;Investimento di pedone;Intersezione semaforizzata;Più di due carreggiate;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Intenso;Buona;Ore Diurne;1;0;0;1;;;-1;;;;Pedone;F;Rimandato;0;NON DECEDUTO;;;
1894491;6;22/11/2011 08:30;Provinciale entro l'abitato;VIA PRENESTINA;all'intersezione semaforizzata con;VIA ERASMO GATTAMELATA;VIA ERASMO GATTAMELATA;;;Investimento di pedone;Intersezione semaforizzata;Più di due carreggiate;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Intenso;Buona;Ore Diurne;1;0;0;1;;;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente;
1894492;6;22/11/2011 10:00;Strada Urbana;VIA DI ACQUA BULLICANTE;in prossimità;;del civico n. ;169;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;3;;;-1;1;Veicolo speciale;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente;
1894492;6;22/11/2011 10:00;Strada Urbana;VIA DI ACQUA BULLICANTE;in prossimità;;del civico n. ;169;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;3;;;-1;1;Veicolo speciale;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesistente;
1894492;6;22/11/2011 10:00;Strada Urbana;VIA DI ACQUA BULLICANTE;in prossimità;;del civico n. ;169;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;3;;;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Inesistente;
1894493;6;22/11/2011 11:50;Statale entro l'abitato;VIA CASILINA;all'intersezione con;VIA DI VILLA SERVENTI;VIA DI VILLA SERVENTI;;;Scontro frontale/laterale SX fra veicoli in marcia;Intersezione stradale segnalata;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;1;;;-1;1;Motociclo a solo;In marcia / fermata / arresto;Conducente;F;Rifiuta cure immediate;0;NON DECEDUTO;Non accertato;Inesistente;
1894493;6;22/11/2011 11:50;Statale entro l'abitato;VIA CASILINA;all'intersezione con;VIA DI VILLA SERVENTI;VIA DI VILLA SERVENTI;;;Scontro frontale/laterale SX fra veicoli in marcia;Intersezione stradale segnalata;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;1;;;-1;2;Autocarro inferiore 35 q.;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesistente;
1894494;6;23/11/2011 10:30;Strada Urbana;VIA DI PORTONACCIO;in prossimità;;del palo luce n. ;112;;Ribaltamento senza urto contro ostacolo fisso;Rettilineo;Due carreggiate;Bagnato (umidità in atto);Asfaltata;Orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;0;;;-1;1;Autocarro inferiore 35 q.;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;Inesploso;
1894495;6;23/11/2011 11:30;Strada Urbana;VIA TOR DE' SCHIAVI;in prossimità;;del civico n. ;349;;Investimento di pedone;Rettilineo;Due carreggiate;Bagnato (umidità in atto);Asfaltata;Assente;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;3;;;-1;;;;Pedone;F;Rimandato;0;NON DECEDUTO;;;
